name,cat,hold_days,signals,wins,losses,wr,avg,med,max_g,max_l,avg_w,avg_l,pl,stop_cnt,tp_cnt,exp_cnt,composite
D_断板_l2_r2_b-8,D-断板反包,4,118,50,68,42.3728813559322,0.26352693074953043,-1.5217391304347738,29.756097560975615,-20.334620334620325,10.39317635311391,-7.184744703341927,1.4465616778672186,65,36,17,42.087449088478394
D_断板_l3_r2_b-5,D-断板反包,4,28,10,18,35.714285714285715,-1.5883628111484367,-1.736111111111105,29.756097560975615,-16.925465838509325,7.688056737600799,-6.7419292271202345,1.1403348327470795,17,8,3,33.75547015779643
N22_d15_p5_v1.5,N22-V型反转,4,68,40,28,58.82352941176471,1.171762512323956,0.8460236886632888,17.37622201198359,-12.384937238493709,4.787936338466722,-3.994200096451425,1.1987222029062785,19,33,16,52.185777467602044
N22_d15_p4_v1.2,N22-V型反转,4,94,54,40,57.446808510638306,1.3363468338472473,1.0935601458080368,27.569444444444425,-12.384937238493709,5.30569191877009,-4.022269030798588,1.319079325163063,29,40,25,52.05352341974778
N22_d15_p4_v1.3,N22-V型反转,4,84,47,37,55.952380952380956,1.192573561182648,0.7553366174055665,27.569444444444425,-12.384937238493709,5.1816687942809105,-3.874655518698928,1.3373237360777985,25,37,22,50.71822092908324
N22_d12_p4_v1.2,N22-V型反转,4,37,22,15,59.45945945945946,2.0013430233423004,1.2566457225712702,27.569444444444425,-12.384937238493709,5.954951525292954,-3.797282779518658,1.5682138705634667,10,19,8,51.079886851625375
N22_d15_p6_v1.5,N22-V型反转,4,65,38,27,58.46153846153847,0.8876906089477672,0.7553366174055665,15.038381018841584,-12.384937238493709,4.352726520113396,-3.989026599359414,1.0911751054285743,18,32,15,51.81680260604728
N36_cd2_p4_v1.3,N36-连续下跌反弹,4,667,303,364,45.42728635682159,0.6545201449018838,-0.6280014776505416,41.430948419301174,-16.579770594369137,5.979128020905796,-3.7777770705629132,1.5827106547647258,200,353,114,48.71121743515358
N36_cd1_p4_v1.3,N36-连续下跌反弹,4,893,411,482,46.02463605823068,0.8090694390630895,-0.5717552887364086,45.18716577540105,-17.350157728706616,6.229851715229228,-3.8132158628130117,1.6337527009639214,269,479,145,49.88709134867994
N36_cd2_p5_v1.5,N36-连续下跌反弹,4,511,236,275,46.1839530332681,0.49789921223117495,-0.5242463958060273,41.430948419301174,-16.579770594369137,5.626640457218023,-3.903493274375722,1.4414372106527789,130,299,82,48.54933931144597
N36_cd2_p3_v1.3,N36-连续下跌反弹,4,793,350,443,44.13619167717528,0.5222643267651004,-0.7299270072992692,41.430948419301174,-16.579770594369137,5.78881716507278,-3.6386690669317097,1.5909160900840518,274,394,125,48.25674461662709
