name,cat,hold_days,signals,wins,losses,wr,avg,avg_w,avg_l,pl
S2_d25_p5_v1.3,S2-底部放量反转,2,843,407,436,48.27995255041518,0.4980710489063514,4.796688869441944,-3.5146295312725147,1.3647779450897757
S2_d25_p5_v1.5,S2-底部放量反转,2,758,367,391,48.41688654353562,0.47413572898693257,4.767608677650302,-3.5557992381728045,1.3407980480079642
S2_d25_p5_v1.8,S2-底部放量反转,2,659,316,343,47.95144157814871,0.39459256081541244,4.699848501826791,-3.5717656822154793,1.3158333776563946
S2_d25_p5_v2.0,S2-底部放量反转,2,589,274,315,46.5195246179966,0.3610549046917802,4.78639429727786,-3.488287932033888,1.3721328028351993
S2_d25_p5_v2.5,S2-底部放量反转,2,445,200,245,44.9438202247191,0.3010091141689809,4.970508316248298,-3.5108269691610716,1.4157656756966364
S1_a10_v1.2_p0,S1-箱体突破,2,137,54,83,39.416058394160586,0.12866767113066366,5.47150529668385,-3.347395362361772,1.6345560366742582
S1_a10_v1.2_p1,S1-箱体突破,2,137,54,83,39.416058394160586,0.12866767113066366,5.47150529668385,-3.347395362361772,1.6345560366742582
S1_a10_v1.2_p2,S1-箱体突破,2,136,54,82,39.705882352941174,0.13910699086108444,5.47150529668385,-3.3724723812661033,1.6224018103388358
S1_a10_v1.5_p0,S1-箱体突破,2,131,50,81,38.16793893129771,0.0052939460141373015,5.420836305537501,-3.33763343640769,1.624155680610622
S1_a10_v1.5_p1,S1-箱体突破,2,131,50,81,38.16793893129771,0.0052939460141373015,5.420836305537501,-3.33763343640769,1.624155680610622
S1_a10_v1.5_p2,S1-箱体突破,2,130,50,80,38.46153846153847,0.015266051846604215,5.420836305537501,-3.363215356710204,1.6118017226348538
S1_a10_v2.0_p0,S1-箱体突破,2,115,44,71,38.26086956521739,0.0814356662357062,5.422940347150708,-3.228792586725702,1.6795567387777228
S1_a10_v2.0_p1,S1-箱体突破,2,115,44,71,38.26086956521739,0.0814356662357062,5.422940347150708,-3.228792586725702,1.6795567387777228
S1_a10_v2.0_p2,S1-箱体突破,2,114,44,70,38.59649122807017,0.09347527569572611,5.422940347150708,-3.2564741977902614,1.6652796914007613
S1_a15_v1.2_p0,S1-箱体突破,2,424,191,233,45.04716981132076,0.3527500341341833,5.451401098105428,-3.8268308809667153,1.4245210378171511
S1_a15_v1.2_p1,S1-箱体突破,2,417,188,229,45.08393285371702,0.32192396205688273,5.445585223776844,-3.8844005672154056,1.401911345018827
S1_a15_v1.2_p2,S1-箱体突破,2,407,184,223,45.20884520884521,0.3610025775599839,5.505471229352258,-3.883760794322436,1.4175618738930977
S1_a15_v1.5_p0,S1-箱体突破,2,394,175,219,44.41624365482234,0.32019173809138374,5.42115139862528,-3.7559175796868476,1.4433627159297977
S1_a15_v1.5_p1,S1-箱体突破,2,387,172,215,44.44444444444444,0.28638713827605045,5.4142669016938,-3.8159166724581532,1.4188640283400147
S1_a15_v1.5_p2,S1-箱体突破,2,378,168,210,44.44444444444444,0.326318829879634,5.479110662036326,-3.7959146358457225,1.4434230449483199
S1_a15_v2.0_p0,S1-箱体突破,2,323,142,181,43.962848297213625,0.1707443502957082,5.174277719074676,-3.7546796185806097,1.378087678498311
S1_a15_v2.0_p1,S1-箱体突破,2,318,139,179,43.710691823899374,0.12348180554900519,5.160430564320242,-3.787891811597375,1.3623489848681976
S1_a15_v2.0_p2,S1-箱体突破,2,310,136,174,43.87096774193549,0.16807878118311792,5.197478274939672,-3.7629461104886714,1.3812258061449374
S1_a20_v1.2_p0,S1-箱体突破,2,819,381,438,46.52014652014652,0.3716509826715455,5.2671859271811545,-3.886793797826536,1.3551493084419666
S1_a20_v1.2_p1,S1-箱体突破,2,795,368,427,46.28930817610063,0.35937717802647423,5.322932173036515,-3.9183470331297183,1.358463690946972
S1_a20_v1.2_p2,S1-箱体突破,2,769,353,416,45.9037711313394,0.36202312302429546,5.430152141289737,-3.938576741032676,1.3787092389790472
S1_a20_v1.5_p0,S1-箱体突破,2,752,350,402,46.54255319148936,0.3805223763984516,5.248127118618132,-3.857441951404749,1.3605200505238824
S1_a20_v1.5_p1,S1-箱体突破,2,728,337,391,46.291208791208796,0.3674114406245696,5.308266151150634,-3.8910745886523683,1.364215984610332
S1_a20_v1.5_p2,S1-箱体突破,2,703,322,381,45.80369843527738,0.36983981812489264,5.425125338930444,-3.90260621258216,1.3901288122382476
S1_a20_v2.0_p0,S1-箱体突破,2,602,273,329,45.348837209302324,0.19185448744290218,5.152661868727406,-3.924560148091046,1.3129272260570968
S1_a20_v2.0_p1,S1-箱体突破,2,580,260,320,44.827586206896555,0.16596485254814092,5.225838044553843,-3.9451821159564906,1.32461262647868
S1_a20_v2.0_p2,S1-箱体突破,2,557,247,310,44.34470377019748,0.1674893951742022,5.349120133800951,-3.9611002578606582,1.3504127100004142
A_g2-5_p5_v1.3,A-竞价追涨,2,254,119,135,46.8503937007874,0.1373617018578753,6.6561008604763865,-5.6087861490725155,1.186727517071953
A_g2-5_p5_v1.5,A-竞价追涨,2,232,107,125,46.12068965517241,0.08021909651881351,6.664777551989859,-5.556162941364401,1.1995288155378
A_g2-5_p5_v2.0,A-竞价追涨,2,184,78,106,42.391304347826086,-0.6095342180076141,5.988167958413593,-5.464447140279826,1.0958415013795793
A_g2-5_p7_v1.3,A-竞价追涨,2,177,82,95,46.32768361581921,-0.018824301898175477,6.867580451725661,-5.962878931341912,1.1517222688571593
A_g2-5_p7_v1.5,A-竞价追涨,2,161,74,87,45.962732919254655,-0.05097965546021713,6.907778757224902,-5.969923592686642,1.1570966780357397
A_g2-5_p7_v2.0,A-竞价追涨,2,126,54,72,42.857142857142854,-0.7383332351496855,6.145641876407466,-5.9013145688175515,1.041402183317076
A_g3-7_p5_v1.3,A-竞价追涨,2,314,155,159,49.36305732484077,0.6070592592719749,7.404993017329744,-6.019857297325214,1.2300944443683048
A_g3-7_p5_v1.5,A-竞价追涨,2,285,139,146,48.771929824561404,0.5474640199505927,7.441684412792274,-6.0162115595356624,1.2369386181237667
A_g3-7_p5_v2.0,A-竞价追涨,2,223,106,117,47.53363228699551,0.06002506123572297,6.853912928861736,-6.095121211998099,1.1244916533193752
A_g3-7_p7_v1.3,A-竞价追涨,2,245,118,127,48.16326530612245,0.7178163936029865,8.084678026426186,-6.126984178626441,1.319519977647245
A_g3-7_p7_v1.5,A-竞价追涨,2,222,106,116,47.74774774774775,0.6182454284633997,8.039270469456854,-6.163036074513372,1.3044334597849367
A_g3-7_p7_v2.0,A-竞价追涨,2,173,80,93,46.24277456647399,0.060217007288768144,7.376987083081033,-6.23377875683361,1.1833893005898248
