name,cat,hold_days,signals,wins,losses,wr,avg,med,max_g,max_l,avg_w,avg_l,pl,composite,wilson_lower
N15_v1.5_p2,N15-均线金叉,4,311,151,160,48.55305466237942,0.5616361675557153,-0.24390243902439046,32.87671232876712,-21.023081721771685,6.689471606378812,-5.221508527833582,1.2811377345684987,47.722875654279854,43.04993147521417
N23_vm2.0_lb20,N23-倍量突破前高,4,675,312,363,46.22222222222222,0.9729523167260071,-0.4644990046449915,44.143646408839764,-29.759654334323514,9.132769219971426,-6.040444029865096,1.5119367342561723,47.94055767936673,42.49295777124477
N23_vm1.8_lb10,N23-倍量突破前高,4,1287,639,648,49.65034965034965,1.2328839654626653,0.0,45.18716577540105,-29.759654334323514,8.143128663182768,-5.5813851114557655,1.4589798948775343,51.8820851298733,46.92380071447384
N26_v1.5_p2,N26-强势突破连阳,4,2335,1103,1232,47.23768736616702,0.7626752509603747,-0.4432132963989033,45.75539568345324,-29.342857142857138,8.849605908200726,-6.477490751422813,1.366208960816635,51.61713916754695,45.21891193835961
N26_v1.8_p2,N26-强势突破连阳,4,1857,882,975,47.49596122778675,0.9012343633128196,-0.3859435303676606,45.75539568345324,-27.27272727272726,8.91425880143303,-6.347470820709761,1.4043796424157893,51.250368609007914,45.23216883038002
N27_g1-3_v2.0,N27-涨停接力,4,218,105,113,48.1651376146789,1.2439154343466836,-0.21582733812950394,42.63322884012539,-23.307291666666664,9.528878473969097,-6.454501549373256,1.4763151578907545,46.60482373259831,41.621589673099216
N27_g1-4_v1.8,N27-涨停接力,4,324,157,167,48.45679012345679,0.9647899568324857,-0.2127061840041855,42.63322884012539,-27.27272727272726,9.120828134033783,-6.702862700775927,1.3607362318458278,47.75312583925731,43.06496972604074
N35_d5_r3_v1.8,N35-急跌反弹,4,81,38,43,46.913580246913575,-0.4285990824377697,-1.5421115065243018,48.75000000000001,-22.855392156862752,9.10822326521647,-8.856488598969424,1.028423755468543,43.37920750246292,36.43319191569785
N35_d4_r3_v1.5,N35-急跌反弹,4,215,99,116,46.04651162790698,-0.4515274029783938,-0.9846827133479175,48.75000000000001,-22.855392156862752,8.004008187867422,-7.667889674476118,1.0438345526162343,45.0887955809685,39.5116661284975
N36_cd1_p2_v1.3,N36-连续下跌反弹,4,1294,633,661,48.91808346213292,0.8561822899576973,-0.1456664238892902,45.18716577540105,-17.28464419475655,6.349438699860524,-4.404379446000682,1.4416193649314248,51.38246215909557,46.2016307994358
N36_cd1_p2_v1.5,N36-连续下跌反弹,4,1098,540,558,49.18032786885246,0.7819153479965172,-0.12590494176896172,45.18716577540105,-17.28464419475655,6.186213715286029,-4.448050813896555,1.3907695694390727,51.17352568974374,46.23124020147736
N36_cd1_p2_v1.8,N36-连续下跌反弹,4,887,434,453,48.92897406989854,0.746148815496583,-0.13736263736264798,45.18716577540105,-17.28464419475655,6.164660955843115,-4.445096811237179,1.38684515042707,50.48769805165436,45.65092739781739
N36_cd1_p3_v1.3,N36-连续下跌反弹,4,1081,537,544,49.67622571692877,1.0087295097383284,0.0,45.18716577540105,-17.28464419475655,6.549584874670576,-4.460828083953985,1.4682441805435282,51.48336825435776,46.70205118895009
N36_cd1_p3_v1.5,N36-连续下跌反弹,4,938,468,470,49.89339019189765,0.924828436804591,0.0,45.18716577540105,-17.28464419475655,6.374419979937957,-4.501573355081401,1.4160426759995983,51.29635271330315,46.700551231016604
N36_cd1_p3_v1.8,N36-连续下跌反弹,4,780,389,391,49.871794871794876,0.9069295279029191,0.0,45.18716577540105,-17.28464419475655,6.317837400590101,-4.476301066663105,1.4113968891953428,50.840582084260575,46.37208102923248
N36_cd1_p4_v1.3,N36-连续下跌反弹,4,916,477,439,52.07423580786026,1.3116743011089516,0.37162531424199674,45.18716577540105,-17.28464419475655,6.627696002607882,-4.464504176373938,1.4845312582932522,52.76624139238129,48.837100559326785
N36_cd1_p4_v1.5,N36-连续下跌反弹,4,809,422,387,52.16316440049443,1.2169896709691659,0.4484304932735439,45.18716577540105,-17.28464419475655,6.468876463398208,-4.509873963152427,1.4343807645738347,52.53174122714657,48.71879921154489
N36_cd1_p4_v1.8,N36-连续下跌反弹,4,685,354,331,51.67883211678832,1.1524343205916483,0.3364171572750152,45.18716577540105,-17.28464419475655,6.423977594809749,-4.485409543677867,1.4321942137623245,51.79530615068831,47.937631194668654
N36_cd1_p5_v1.3,N36-连续下跌反弹,4,805,416,389,51.67701863354037,1.2550076107314814,0.3364171572750152,45.18716577540105,-17.28464419475655,6.688064421523198,-4.555150829601054,1.4682421442692268,52.17959889756026,48.2251492876378
N36_cd1_p5_v1.5,N36-连续下跌反弹,4,724,376,348,51.93370165745856,1.193908142004903,0.4264392324093702,45.18716577540105,-17.28464419475655,6.50557604739033,-4.545135341974761,1.4313272450460852,52.10596344735827,48.29368179347731
N36_cd1_p5_v1.8,N36-连续下跌反弹,4,626,319,307,50.95846645367412,1.0817826064464329,0.1899592944369033,45.18716577540105,-17.28464419475655,6.4635535918233735,-4.510350762723749,1.4330489870637262,51.07595892586212,47.048429221528224
N36_cd2_p2_v1.3,N36-连续下跌反弹,4,1103,546,557,49.50135992747053,0.8161973219128085,-0.07012622720897754,41.430948419301174,-17.030567685589524,6.127636563337112,-4.390348146341537,1.3957062991560822,51.40910486410056,46.55757167995303
N36_cd2_p2_v1.5,N36-连续下跌反弹,4,914,455,459,49.78118161925602,0.7328306266545314,0.0,41.430948419301174,-17.030567685589524,5.923627570229042,-4.412730613708007,1.342395013152963,51.15588133111228,46.547367261723
